customers
customernumber;customername;contactlastname;contactfirstname;phone;addressline1;addressline2;city;state;postalcode;countrycode;employeenumber;creditlimit
103;Atelier graphique;Schmitt;Carine ;40.32.2555;54, rue Royale;undef;Nantes;undef;44000;FR;1370;21000.0
112;Signal Gift Stores;King;Jean;7025551838;8489 Strong St.;undef;Las Vegas;NV;83030;US;1166;71800.0
114;Australian Collectors, Co.;Ferguson;Peter;03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;3004;AU;1611;117300.0
119;La Rochelle Gifts;Labrune;Janine ;40.67.8555;67, rue des Cinquante Otages;undef;Nantes;undef;44000;FR;1370;118200.0
121;Baane Mini Imports;Bergulfsen;Jonas ;07-98 9555;Erling Skakkes gate 78;undef;Stavern;undef;4110;NO;1504;81700.0
124;Mini Gifts Distributors Ltd.;Nelson;Susan;4155551450;5677 Strong St.;undef;San Rafael;CA;97562;US;1165;210500.0
125;Havel & Zbyszek Co;Piestrzeniewicz;Zbyszek ;(26) 642-7555;ul. Filtrowa 68;undef;Warszawa;undef;01-012;PL;undef;0.0
128;Blauer See Auto, Co.;Keitel;Roland;+49 69 66 90 2555;Lyonerstr. 34;undef;Frankfurt;undef;60528;DE;1504;59700.0
129;Mini Wheels Co.;Murphy;Julie;6505555787;5557 North Pendale Street;undef;San Francisco;CA;94217;US;1165;64600.0
131;Land of Toys Inc.;Lee;Kwai;2125557818;897 Long Airport Avenue;undef;NYC;NY;10022;US;1323;114900.0
141;Euro+ Shopping Channel;Freyre;Diego ;(91) 555 94 44;C/ Moralzarzal, 86;undef;Madrid;undef;28034;ES;1370;227600.0
144;Volvo Model Replicas, Co;Berglund;Christina ;0921-12 3555;Berguvsvägen  8;undef;Luleå;undef;S-958 22;SE;1504;53100.0
145;Danish Wholesale Imports;Petersen;Jytte ;31 12 3555;Vinbæltet 34;undef;Kobenhavn;undef;1734;DK;1401;83400.0
146;Saveley & Henriot, Co.;Saveley;Mary ;78.32.5555;2, rue du Commerce;undef;Lyon;undef;69004;FR;1337;123900.0
148;Dragon Souveniers, Ltd.;Natividad;Eric;+65 221 7555;Bronz Sok.;Bronz Apt. 3/6 Tesvikiye;Singapore;undef;079903;SG;1621;103800.0
151;Muscle Machine Inc;Young;Jeff;2125557413;4092 Furth Circle;Suite 400;NYC;NY;10022;US;1286;138500.0
157;Diecast Classics Inc.;Leong;Kelvin;2155551555;7586 Pompton St.;undef;Allentown;PA;70267;US;1216;100600.0
161;Technics Stores Inc.;Hashimoto;Juri;6505556809;9408 Furth Circle;undef;Burlingame;CA;94217;US;1165;84600.0
166;Handji Gifts& Co;Victorino;Wendy;+65 224 1555;106 Linden Road Sandown;2nd Floor;Singapore;undef;069045;SG;1612;97900.0
167;Herkku Gifts;Oeztan;Veysel;+47 2267 3215;Brehmen St. 121;PR 334 Sentrum;Bergen;undef;N 5804;NO;1504;96800.0
168;American Souvenirs Inc;Franco;Keith;2035557845;149 Spinnaker Dr.;Suite 101;New Haven;CT;97823;US;1286;0.0
169;Porto Imports Co.;de Castro;Isabel ;(1) 356-5555;Estrada da saúde n. 58;undef;Lisboa;undef;1756;PT;undef;0.0
171;Daedalus Designs Imports;Rancé;Martine ;20.16.1555;184, chaussée de Tournai;undef;Lille;undef;59000;FR;1370;82900.0
172;La Corne D'abondance, Co.;Bertrand;Marie;(1) 42.34.2555;265, boulevard Charonne;undef;Paris;undef;75012;FR;1337;84300.0
173;Cambridge Collectables Co.;Tseng;Jerry;6175555555;4658 Baden Av.;undef;Cambridge;MA;51247;US;1188;43400.0
175;Gift Depot Inc.;King;Julie;2035552570;25593 South Bay Ln.;undef;Bridgewater;CT;97562;US;1323;84300.0
177;Osaka Souveniers Co.;Kentary;Mory;+81 06 6342 5555;1-6-20 Dojima;undef;Kita-ku;Osaka; 530-0003;JP;1621;81200.0
181;Vitachrome Inc.;Frick;Michael;2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;10022;US;1286;76400.0
186;Toys of Finland, Co.;Karttunen;Matti;90-224 8555;Keskuskatu 45;undef;Helsinki;undef;21240;FI;1501;96500.0
187;AV Stores, Co.;Ashworth;Rachel;(171) 555-1555;Fauntleroy Circus;undef;Manchester;undef;EC2 5NT;GB;1501;136800.0
189;Clover Collections, Co.;Cassidy;Dean;+353 1862 1555;25 Maiden Lane;Floor No. 4;Dublin;undef;2;IE;1504;69400.0
198;Auto-Moto Classics Inc.;Taylor;Leslie;6175558428;16780 Pompton St.;undef;Brickhaven;MA;58339;US;1216;23000.0
201;UK Collectables, Ltd.;Devon;Elizabeth;(171) 555-2282;12, Berkeley Gardens Blvd;undef;Liverpool;undef;WX1 6LT;GB;1501;92700.0
202;Canadian Gift Exchange Network;Tamuri;Yoshi ;(604) 555-3392;1900 Oak St.;undef;Vancouver;BC;V3F 2K1;CA;1323;90300.0
204;Online Mini Collectables;Barajas;Miguel;6175557555;7635 Spinnaker Dr.;undef;Brickhaven;MA;58339;US;1188;68700.0
205;Toys4GrownUps.com;Young;Julie;6265557265;78934 Hillside Dr.;undef;Pasadena;CA;90003;US;1166;90700.0
206;Asian Shopping Network, Co;Walker;Brydey;+612 9411 1555;Suntec Tower Three;8 Temasek;Singapore;undef;038988;SG;undef;0.0
209;Mini Caravy;Citeaux;Frédérique ;88.60.1555;24, place Kléber;undef;Strasbourg;undef;67000;FR;1370;53800.0
211;King Kong Collectables, Co.;Gao;Mike;+852 2251 1555;Bank of China Tower;1 Garden Road;Central Hong Kong;undef;undef;HK;1621;58600.0
216;Enaco Distributors;Saavedra;Eduardo ;(93) 203 4555;Rambla de Cataluña, 23;undef;Barcelona;undef;08022;ES;1702;60300.0
219;Boards & Toys Co.;Young;Mary;3105552373;4097 Douglas Av.;undef;Glendale;CA;92561;US;1166;11000.0
223;Natürlich Autos;Kloss;Horst ;0372-555188;Taucherstraße 10;undef;Cunewalde;undef;01307;DE;undef;0.0
227;Heintze Collectables;Ibsen;Palle;86 21 3555;Smagsloget 45;undef;Århus;undef;8200;DK;1401;120800.0
233;Québec Home Shopping Network;Fresnière;Jean ;(514) 555-8054;43 rue St. Laurent;undef;Montréal;Québec;H1J 1C3;CA;1286;48700.0
237;ANG Resellers;Camino;Alejandra ;(91) 745 6555;Gran Vía, 1;undef;Madrid;undef;28001;ES;undef;0.0
239;Collectable Mini Designs Co.;Thompson;Valarie;7605558146;361 Furth Circle;undef;San Diego;CA;91217;US;1166;105000.0
240;giftsbymail.co.uk;Bennett;Helen ;(198) 555-8888;Garden House;Crowther Way 23;Cowes;Isle of Wight;PO31 7PJ;GB;1501;93900.0
242;Alpha Cognac;Roulet;Annette ;61.77.6555;1 rue Alsace-Lorraine;undef;Toulouse;undef;31000;FR;1370;61100.0
